Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
Neural Epitome Search for Architecture-Agnostic Network Compression,"

Daquan Zhou
, 
Xiaojie Jin
, 
Qibin Hou
, 
Kaixin Wang
, 
Jianchao Yang
, 
Jiashi Feng

","Network Compression
Classification
Deep Learning
Weights Sharing",We present a novel neural network compression method which can reuse the parameters efficiently to reduce the model size.
On the Equivalence between Positional Node Embeddings and Structural Graph Representations,"

Balasubramaniam Srinivasan
, 
Bruno Ribeiro

","Graph Neural Networks
Structural Graph Representations
Node Embeddings
Relational Learning
Invariant Theory
Theory
Deep Learning
Representational Power
Graph Isomorphism",We develop the foundations of a unifying theoretical framework connecting node embeddings and structural graph representations through invariant theory
Probability Calibration for Knowledge Graph Embedding Models,"

Pedro Tabacof
, 
Luca Costabello

","knowledge graph embeddings
probability calibration
calibration
graph representation learning
knowledge graphs",We propose a novel method to calibrate knowledge graph embedding models without the need of negative examples.
Why Not to Use Zero Imputation? Correcting Sparsity Bias in Training Neural Networks,"

Joonyoung Yi
, 
Juhyuk Lee
, 
Kwang Joon Kim
, 
Sung Ju Hwang
, 
Eunho Yang

","Missing Data
Collaborative Filtering
Health Care
Tabular Data
High Dimensional Data
Deep Learning
Neural Networks",
DropEdge: Towards Deep Graph Convolutional Networks on Node Classification,"

Yu Rong
, 
Wenbing Huang
, 
Tingyang Xu
, 
Junzhou Huang

","graph neural network
over-smoothing
over-fitting
dropedge
graph convolutional networks","This paper proposes DropEdge, a novel and flexible technique to alleviate over-smoothing and overfitting issue in deep Graph Convolutional Networks."
Masked Based Unsupervised Content Transfer,"

Ron Mokady
, 
Sagie Benaim
, 
Lior Wolf
, 
Amit Bermano

",,
U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation,"

Junho Kim
, 
Minjae Kim
, 
Hyeonwoo Kang
, 
Kwang Hee Lee

","Image-to-Image Translation
Generative Attentional Networks
Adaptive Layer-Instance Normalization",
Inductive and Unsupervised Representation Learning on Graph Structured Objects,"

Lichen Wang
, 
Bo Zong
, 
Qianqian Ma
, 
Wei Cheng
, 
Jingchao Ni
, 
Wenchao Yu
, 
Yanchi Liu
, 
Dongjin Song
, 
Haifeng Chen
, 
Yun Fu

","Graph representation learning
Graph isomorphism
Graph similarity learning",This paper proposed a novel framework for graph similarity learning in inductive and unsupervised scenario.
Batch-shaping for learning conditional channel gated networks,"

Babak Ehteshami Bejnordi
, 
Tijmen Blankevoort
, 
Max Welling

","Conditional computation
channel gated networks
gating
Batch-shaping
distribution matching
image classification
semantic segmentation",A method that trains large capacity neural networks with significantly improved accuracy and lower dynamic computational cost
Learning Robust Representations via Multi-View Information Bottleneck,"

Marco Federici
, 
Anjan Dutta
, 
Patrick Forré
, 
Nate Kushman
, 
Zeynep Akata

","Information Bottleneck
Multi-View Learning
Representation Learning
Information Theory",We extend the information bottleneck method to the unsupervised multiview setting and show state of the art results on standard datasets
Deep probabilistic subsampling for task-adaptive compressed sensing,"

Iris A.M. Huijben
, 
Bastiaan S. Veeling
, 
Ruud J.G. van Sloun

",,
Robust anomaly detection and backdoor attack detection via differential privacy,"

Min Du
, 
Ruoxi Jia
, 
Dawn Song

","outlier detection
novelty detection
backdoor attack detection
system log anomaly detection
differential privacy","This paper shows that differential privacy could improve the utility of outlier detection, novelty detection and backdoor attack detection, through both a theoretical analysis and extensive experimental results (constructed and real-world)."
Learning to Guide Random Search,"

Ozan Sener
, 
Vladlen Koltun

","Random search
Derivative-free optimization
Learning continuous control",We improve the sample-efficiency of the random search for functions defined on low-dimensional manifolds. Our method jointly learns the underlying manifold and optimizes the function.
Lagrangian Fluid Simulation with Continuous Convolutions,"

Benjamin Ummenhofer
, 
Lukas Prantl
, 
Nils Thuerey
, 
Vladlen Koltun

","particle-based physics
fluid mechanics
continuous convolutions
material estimation",We learn particle-based fluid simulation with convolutional networks.
Reinforced Genetic Algorithm Learning for Optimizing Computation Graphs,"

Aditya Paliwal
, 
Felix Gimeno
, 
Vinod Nair
, 
Yujia Li
, 
Miles Lubin
, 
Pushmeet Kohli
, 
Oriol Vinyals

","reinforcement learning
learning to optimize
combinatorial optimization
computation graphs
model parallelism
learning for systems","We use deep RL to learn a policy that directs the search of a genetic algorithm to better optimize the execution cost of computation graphs, and show improved results on real-world TensorFlow graphs."
Compressive Transformers for Long-Range Sequence Modelling,"

Jack W. Rae
, 
Anna Potapenko
, 
Siddhant M. Jayakumar
, 
Chloe Hillier
, 
Timothy P. Lillicrap

","memory
language modeling
transformer
compression","Long-range transformer using a compressive memory, achieves sota in wikitext-103 and enwik8 LM benchmarks, release a new book-level LM benchmark PG-19."
A Stochastic Derivative Free Optimization Method with Momentum,"

Eduard Gorbunov
, 
Adel Bibi
, 
Ozan Sener
, 
El Houcine Bergou
, 
Peter Richtarik

","derivative-free optimization
stochastic optimization
heavy ball momentum
importance sampling",We develop and analyze a new derivative free optimization algorithm with momentum and importance sampling with applications to continuous control.
Understanding and Improving Information Transfer in Multi-Task Learning,"

Sen Wu
, 
Hongyang R. Zhang
, 
Christopher Ré

",Multi-Task Learning,A Theoretical Study of Multi-Task Learning with Practical Implications for Improving Multi-Task Training and Transfer Learning
Learning To Explore Using Active Neural SLAM,"

Devendra Singh Chaplot
, 
Dhiraj Gandhi
, 
Saurabh Gupta
, 
Abhinav Gupta
, 
Ruslan Salakhutdinov

","Navigation
Exploration",A modular and hierarchical approach to learn policies for exploring 3D environments.
EMPIR: Ensembles of Mixed Precision Deep Networks for Increased Robustness Against Adversarial Attacks,"

Sanchari Sen
, 
Balaraman Ravindran
, 
Anand Raghunathan

","ensembles
mixed precision
robustness
adversarial attacks",We propose ensembles of mixed-precision DNNs as a new form of defense against adversarial attacks
Quantifying Point-Prediction Uncertainty in Neural Networks via Residual Estimation with an I/O Kernel,"

Xin Qiu
, 
Elliot Meyerson
, 
Risto Miikkulainen

","Uncertainty Estimation
Neural Networks
Gaussian Process",Learning to Estimate Point-Prediction Uncertainty and Correct Output in Neural Networks
B-Spline CNNs on Lie groups,"

Erik J Bekkers

","equivariance
Lie groups
B-Splines
G-CNNs
deep learning
group convolution
computer vision
medical image analysis",The paper describes a flexible framework for building CNNs that are equivariant to a large class of transformations groups.
Neural Outlier Rejection for Self-Supervised Keypoint Learning,"

Jiexiong Tang
, 
Hanme Kim
, 
Vitor Guizilini
, 
Sudeep Pillai
, 
Rares Ambrus

","Self-Supervised Learning
Keypoint Detection
Outlier Rejection
Deep Learning","Learning to extract distinguishable keypoints from a proxy task, outlier rejection."
Reducing Transformer Depth on Demand with Structured Dropout,"

Angela Fan
, 
Edouard Grave
, 
Armand Joulin

","reduction
regularization
pruning
dropout
transformer","Layerdrop, a form of structured dropout that allows you to train one model at training time and prune to any desired depth at test time. You can also use this to train even deeper models."
Cross-Lingual Ability of Multilingual BERT: An Empirical Study,"

Karthikeyan K
, 
Zihan Wang
, 
Stephen Mayhew
, 
Dan Roth

","Cross-Lingual Learning
Multilingual BERT","Comprehensive analysis on Linguistic Properties, Model Architecture, and Input and Learning Objective of cross-lingual ability of Multilingual BERT"
SPACE: Unsupervised Object-Oriented Scene Representation via Spatial Attention and Decomposition,"

Zhixuan Lin
, 
Yi-Fu Wu
, 
Skand Vishwanath Peri
, 
Weihao Sun
, 
Gautam Singh
, 
Fei Deng
, 
Jindong Jiang
, 
Sungjin Ahn

","Generative models
Unsupervised scene representation
Object-oriented representation
spatial attention",We propose a generative latent variable model for unsupervised scene decomposition that provides factorized object representation per foreground object while also decomposing background segments of complex morphology.
RIDE: Rewarding Impact-Driven Exploration for Procedurally-Generated Environments,"

Roberta Raileanu
, 
Tim Rocktäschel

","reinforcement learning
exploration
curiosity",Reward agents for taking actions that lead to changes in the environment state.
Low-dimensional statistical manifold embedding of directed graphs,"

Thorben Funke
, 
Tian Guo
, 
Alen Lancic
, 
Nino Antulov-Fantulin

","graph embedding
information geometry
graph representations","We propose a novel node embedding of directed graphs to statistical manifolds and analyze connections to divergence, geometry and efficient learning procedure."
Efficient Probabilistic Logic Reasoning with Graph Neural Networks,"

Yuyu Zhang
, 
Xinshi Chen
, 
Yuan Yang
, 
Arun Ramamurthy
, 
Bo Li
, 
Yuan Qi
, 
Le Song

","probabilistic logic reasoning
Markov Logic Networks
graph neural networks",We employ graph neural networks in the variational EM framework for efficient inference and learning of Markov Logic Networks.
GraphSAINT: Graph Sampling Based Inductive Learning Method,"

Hanqing Zeng
, 
Hongkuan Zhou
, 
Ajitesh Srivastava
, 
Rajgopal Kannan
, 
Viktor Prasanna

","Graph Convolutional Networks
Graph sampling
Network embedding",We propose a graph sampling based minibatch construction method for training deep Graph Convolutional Networks on large graphs. 
You Only Train Once: Loss-Conditional Training of Deep Networks,"

Alexey Dosovitskiy
, 
Josip Djolonga

","deep learning
image generation",A method to train a single model simultaneously minimizing a family of loss functions instead of training a set of per-loss models.
Projection-Based Constrained Policy Optimization,"

Tsung-Yen Yang
, 
Justinian Rosca
, 
Karthik Narasimhan
, 
Peter J. Ramadge

","Reinforcement learning with constraints
Safe reinforcement learning","We propose a new algorithm that learns constraint-satisfying policies, and provide theoretical analysis and empirical demonstration in the context of reinforcement learning with constraints."
Infinite-Horizon Differentiable Model Predictive Control,"

Sebastian East
, 
Marco Gallieri
, 
Jonathan Masci
, 
Jan Koutnik
, 
Mark Cannon

","Model Predictive Control
Riccati Equation
Imitation Learning
Safe Learning",
Combining Q-Learning and Search with Amortized Value Estimates,"

Jessica B. Hamrick
, 
Victor Bapst
, 
Alvaro Sanchez-Gonzalez
, 
Tobias Pfaff
, 
Theophane Weber
, 
Lars Buesing
, 
Peter W. Battaglia

","model-based RL
Q-learning
MCTS
search","We propose a model-based method called ""Search with Amortized Value Estimates"" (SAVE) which leverages both real and planned experience by combining Q-learning with Monte-Carlo Tree Search, achieving strong performance with very small search budgets."
Training Generative Adversarial Networks from Incomplete Observations using Factorised Discriminators,"

Daniel Stoller
, 
Sebastian Ewert
, 
Simon Dixon

","Adversarial Learning
Semi-supervised Learning
Image generation
Image segmentation
Missing Data","We decompose the discriminator in a GAN in a principled way so that each component can be independently trained on different parts of the input. The resulting ""FactorGAN"" can be used for semi-supervised learning and in missing data scenarios."
Decentralized Deep Learning with Arbitrary Communication Compression,"

Anastasia Koloskova*
, 
Tao Lin*
, 
Sebastian U Stich
, 
Martin Jaggi

",,"We propose Choco-SGD---decentralized SGD with compressed communication---for non-convex objectives and show its strong performance in various deep learning applications (on-device learning, datacenter case)."
Toward Evaluating Robustness of Deep Reinforcement Learning with Continuous Control,"

Tsui-Wei Weng
, 
Krishnamurthy (Dj) Dvijotham*
, 
Jonathan Uesato*
, 
Kai Xiao*
, 
Sven Gowal*
, 
Robert Stanforth*
, 
Pushmeet Kohli

","deep learning
reinforcement learning
robustness
adversarial examples",We study the problem of continuous control agents in deep RL with adversarial attacks and proposed a two-step algorithm based on learned model dynamics. 
Gradient ℓ1 Regularization for Quantization Robustness,"

Milad Alizadeh
, 
Arash Behboodi
, 
Mart van Baalen
, 
Christos Louizos
, 
Tijmen Blankevoort
, 
Max Welling

","quantization
regularization
robustness
gradient regularization",
SpikeGrad: An ANN-equivalent Computation Model for Implementing Backpropagation with Spikes,"

Johannes C. Thiele
, 
Olivier Bichler
, 
Antoine Dupret

","spiking neural network
neuromorphic engineering
backpropagation",An implementation of the backpropagation algorithm using spiking neurons for forward and backward propagation.
On the Relationship between Self-Attention and Convolutional Layers,"

Jean-Baptiste Cordonnier
, 
Andreas Loukas
, 
Martin Jaggi

","self-attention
attention
transformers
convolution
CNN
image
expressivity
capacity",A self-attention layer can perform convolution and often learns to do so in practice.
Learning-Augmented Data Stream Algorithms,"

Tanqiu Jiang
, 
Yi Li
, 
Honghao Lin
, 
Yisong Ruan
, 
David P. Woodruff

","streaming algorithms
heavy hitters
F_p moment
distinct elements
cascaded norms",
Structured Object-Aware Physics Prediction for Video Modeling and Planning,"

Jannik Kossen
, 
Karl Stelzner
, 
Marcel Hussing
, 
Claas Voelcker
, 
Kristian Kersting

","self-supervised learning
probabilistic deep learning
structured models
video prediction
physics prediction
planning
variational auteoncoders
model-based reinforcement learning
VAEs
unsupervised
variational
graph neural networks
tractable probabilistic models
attend-infer-repeat
relational learning
AIR
sum-product networks
object-oriented
object-centric
object-aware
MCTS","We propose a structured object-aware video prediction model, which explicitly reasons about objects and demonstrate that it provides high-quality long term video predictions for planning."
Incorporating BERT into Neural Machine Translation,"

Jinhua Zhu
, 
Yingce Xia
, 
Lijun Wu
, 
Di He
, 
Tao Qin
, 
Wengang Zhou
, 
Houqiang Li
, 
Tieyan Liu

","BERT
Neural Machine Translation",
MMA Training: Direct Input Space Margin Maximization through Adversarial Training,"

Gavin Weiguang Ding
, 
Yash Sharma
, 
Kry Yik Chau Lui
, 
Ruitong Huang

","adversarial robustness
perturbation
margin maximization
deep learning",We propose MMA training to directly maximize input space margin in order to improve adversarial robustness primarily by removing the requirement of specifying a fixed distortion bound.
Infinite-horizon Off-Policy Policy Evaluation with Multiple Behavior Policies,"

Xinyun Chen
, 
Lu Wang
, 
Yizhe Hang
, 
Heng Ge
, 
Hongyuan Zha

","off-policy policy evaluation
multiple importance sampling
kernel method
variance reduction",A new partially policy-agnostic method for infinite-horizon off-policy policy evalution with multiple known or unknown behavior policies.
vq-wav2vec: Self-Supervised Learning of Discrete Speech Representations,"

Alexei Baevski
, 
Steffen Schneider
, 
Michael Auli

","speech recognition
speech representation learning",Learn how to quantize speech signal and apply algorithms requiring discrete inputs to audio data such as BERT.
Meta-learning curiosity algorithms,"

Ferran Alet*
, 
Martin F. Schneider*
, 
Tomas Lozano-Perez
, 
Leslie Pack Kaelbling

","meta-learning
exploration
curiosity",Meta-learning curiosity algorithms by searching through a rich space of programs yields novel designs that generalize across very different reinforcement-learning domains.
Making Efficient Use of Demonstrations to Solve Hard Exploration Problems,"

Caglar Gulcehre
, 
Tom Le Paine
, 
Bobak Shahriari
, 
Misha Denil
, 
Matt Hoffman
, 
Hubert Soyer
, 
Richard Tanburn
, 
Steven Kapturowski
, 
Neil Rabinowitz
, 
Duncan Williams
, 
Gabriel Barth-Maron
, 
Ziyu Wang
, 
Nando de Freitas
, 
Worlds Team

","imitation learning
deep learning
reinforcement learning","We introduce R2D3, an agent that makes efficient use of demonstrations to solve hard exploration problems in partially observable environments with highly variable initial conditions."
VariBAD: A Very Good Method for Bayes-Adaptive Deep RL via Meta-Learning,"

Luisa Zintgraf
, 
Kyriacos Shiarlis
, 
Maximilian Igl
, 
Sebastian Schulze
, 
Yarin Gal
, 
Katja Hofmann
, 
Shimon Whiteson

","Meta-Learning
Bayesian Reinforcement Learning
BAMDPs
Deep Reinforcement Learning","VariBAD opens a path to tractable approximate Bayes-optimal exploration for deep RL using ideas from meta-learning, Bayesian RL, and approximate variational inference."
Lookahead: A Far-sighted Alternative of Magnitude-based Pruning,"

Sejun Park*
, 
Jaeho Lee*
, 
Sangwoo Mo
, 
Jinwoo Shin

",network magnitude-based pruning,We study a multi-layer generalization of the magnitude-based pruning.
Spike-based causal inference for weight alignment,"

Jordan Guerguiev
, 
Konrad Kording
, 
Blake Richards

","causal
inference
weight
transport
rdd
regression
discontinuity
design
cifar10
biologically
plausible",We present a learning rule for feedback weights in a spiking neural network that addresses the weight transport problem.
Empirical Bayes Transductive Meta-Learning with Synthetic Gradients,"

Shell Xu Hu
, 
Pablo Garcia Moreno
, 
Yang Xiao
, 
Xi Shen
, 
Guillaume Obozinski
, 
Neil Lawrence
, 
Andreas Damianou

","Meta-learning
Empirical Bayes
Synthetic Gradient
Information Bottleneck","We propose a transductive meta-learning algorithm using synthetic gradients, analyze its generalization via information bottleneck, show SOTA results on few-shot learning."
Keep Doing What Worked: Behavior Modelling Priors for Offline Reinforcement Learning,"

Noah Siegel
, 
Jost Tobias Springenberg
, 
Felix Berkenkamp
, 
Abbas Abdolmaleki
, 
Michael Neunert
, 
Thomas Lampe
, 
Roland Hafner
, 
Nicolas Heess
, 
Martin Riedmiller

","Reinforcement Learning
Off-policy
Multitask
Continuous Control","We develop a method for stable offline reinforcement learning from logged data. The key is to regularize the RL policy towards a learned ""advantage weighted"" model of the data."
Understanding the Limitations of Conditional Generative Models,"

Ethan Fetaya
, 
Joern-Henrik Jacobsen
, 
Will Grathwohl
, 
Richard Zemel

","Conditional Generative Models
Generative Classifiers
Robustness
Adversarial Examples",
Demystifying Inter-Class Disentanglement,"

Aviv Gabbay
, 
Yedid Hoshen

","disentanglement
latent optimization
domain translation",Latent Optimization for Representation Disentanglement
Mixed-curvature Variational Autoencoders,"

Ondrej Skopek
, 
Octavian-Eugen Ganea
, 
Gary Bécigneul

","variational autoencoders
riemannian manifolds
non-Euclidean geometry",Variational Autoencoders with latent spaces modeled as products of constant curvature Riemannian manifolds improve on image reconstruction over single-manifold variants.
BinaryDuo: Reducing Gradient Mismatch in Binary Activation Network by Coupling Binary Activations,"

Hyungjun Kim
, 
Kyungsu Kim
, 
Jinseok Kim
, 
Jae-Joon Kim

",,
Model-based reinforcement learning for biological sequence design,"

Christof Angermueller
, 
David Dohan
, 
David Belanger
, 
Ramya Deshpande
, 
Kevin Murphy
, 
Lucy Colwell

","reinforcement learning
blackbox optimization
molecule design","We augment model-free policy learning with a sequence-level surrogate reward functions and count-based visitation bonus and demonstrate effectiveness in the large batch, low-round regime seen in designing DNA and protein sequences."
BayesOpt Adversarial Attack,"

Binxin Ru
, 
Adam Cobb
, 
Arno Blaas
, 
Yarin Gal

","Black-box Adversarial Attack
Bayesian Optimisation
Gaussian Process",We propose a query-efficient black-box attack which uses Bayesian optimisation in combination with Bayesian model selection to optimise over the adversarial perturbation and the optimal degree of search space dimension reduction. 
Meta Reinforcement Learning with Autonomous Inference of Subtask Dependencies,"

Sungryull Sohn
, 
Hyunjae Woo
, 
Jongwook Choi
, 
Honglak Lee

","Meta reinforcement learning
subtask graph",A novel meta-RL method that infers latent subtask structure
Hypermodels for Exploration,"

Vikranth Dwaracherla
, 
Xiuyuan Lu
, 
Morteza Ibrahimi
, 
Ian Osband
, 
Zheng Wen
, 
Benjamin Van Roy

","exploration
hypermodel
reinforcement learning",Hypermodels can encode posterior distributions similar to large ensembles at much smaller computational cost. This can facilitate significant improvements in exploration.
RaPP: Novelty Detection with Reconstruction along Projection Pathway,"

Ki Hyun Kim
, 
Sangwoo Shim
, 
Yongsub Lim
, 
Jongseob Jeon
, 
Jeongwoo Choi
, 
Byungchan Kim
, 
Andre S. Yoon

","Novelty Detection
Anomaly Detection
Outlier Detection
Semi-supervised Learning",A new methodology for novelty detection by utilizing hidden space activation values obtained from a deep autoencoder.
Dynamics-Aware Embeddings,"

William Whitney
, 
Rajat Agarwal
, 
Kyunghyun Cho
, 
Abhinav Gupta

","representation learning
reinforcement learning
rl",State and action embeddings which incorporate the dynamics improve exploration and RL from pixels.
Functional Regularisation for Continual Learning with Gaussian Processes,"

Michalis K. Titsias
, 
Jonathan Schwarz
, 
Alexander G. de G. Matthews
, 
Razvan Pascanu
, 
Yee Whye Teh

","Continual Learning
Gaussian Processes
Lifelong learning
Incremental Learning",Using inducing point sparse Gaussian process methods to overcome catastrophic forgetting in neural networks.
You CAN Teach an Old Dog New Tricks! On Training Knowledge Graph Embeddings,"

Daniel Ruffinelli
, 
Samuel Broscheit
, 
Rainer Gemulla

","knowledge graph embeddings
hyperparameter optimization",We study the impact of training strategies on the performance of knowledge graph embeddings.
AdvectiveNet: An Eulerian-Lagrangian Fluidic Reservoir for Point Cloud Processing,"

Xingzhe He
, 
Helen Lu Cao
, 
Bo Zhu

","Point Cloud Processing
Physical Reservoir Learning
Eulerian-Lagrangian Method
PIC/FLIP",We present a new grid-particle learning method to process point clouds motivated by computational fluid dynamics.
Never Give Up: Learning Directed Exploration Strategies,"

Adrià Puigdomènech Badia
, 
Pablo Sprechmann
, 
Alex Vitvitskyi
, 
Daniel Guo
, 
Bilal Piot
, 
Steven Kapturowski
, 
Olivier Tieleman
, 
Martin Arjovsky
, 
Alexander Pritzel
, 
Andrew Bolt
, 
Charles Blundell

","deep reinforcement learning
exploration
intrinsic motivation",We propose a reinforcement learning agent to solve hard exploration games by learning a range of directed exploratory policies. 
Fair Resource Allocation in Federated Learning,"

Tian Li
, 
Maziar Sanjabi
, 
Ahmad Beirami
, 
Virginia Smith

","federated learning
fairness
distributed optimization","We propose a novel optimization objective that encourages fairness in heterogeneous federated networks, and develop a scalable method to solve it."
Smooth markets: A basic mechanism for organizing gradient-based learners,"

David Balduzzi
, 
Wojciech M. Czarnecki
, 
Tom Anthony
, 
Ian Gemp
, 
Edward Hughes
, 
Joel Leibo
, 
Georgios Piliouras
, 
Thore Graepel

","game theory
optimization
gradient descent
adversarial learning",We introduce a class of n-player games suited to gradient-based methods.
StructBERT: Incorporating Language Structures into Pre-training for Deep Language Understanding,"

Wei Wang
, 
Bin Bi
, 
Ming Yan
, 
Chen Wu
, 
Jiangnan Xia
, 
Zuyi Bao
, 
Liwei Peng
, 
Luo Si

",,
Training binary neural networks with real-to-binary convolutions,"

Brais Martinez
, 
Jing Yang
, 
Adrian Bulat
, 
Georgios Tzimiropoulos

",binary networks,
Permutation Equivariant Models for Compositional Generalization in Language,"

Jonathan Gordon
, 
David Lopez-Paz
, 
Marco Baroni
, 
Diane Bouchacourt

","Compositionality
Permutation Equivariance
Language Processing","We propose a link between permutation equivariance and compositional generalization, and provide equivariant language models"
Phase Transitions for the Information Bottleneck in Representation Learning,"

Tailin Wu
, 
Ian Fischer

","Information Theory
Representation Learning
Phase Transition",We give a theoretical analysis of the Information Bottleneck objective to understand and predict observed phase transitions in the prediction vs. compression tradeoff.
Variational Template Machine for Data-to-Text Generation,"

Rong Ye
, 
Wenxian Shi
, 
Hao Zhou
, 
Zhongyu Wei
, 
Lei Li

",,
Memory-Based Graph Networks,"

Amir Hosein Khasahmadi
, 
Kaveh Hassani
, 
Parsa Moradi
, 
Leo Lee
, 
Quaid Morris

","Graph Neural Networks
Memory Networks
Hierarchial Graph Representation Learning",We introduce an efficient memory layer to jointly learn representations and coarsen the input graphs.
AugMix: A Simple Data Processing Method to Improve Robustness and Uncertainty,"

Dan Hendrycks*
, 
Norman Mu*
, 
Ekin Dogus Cubuk
, 
Barret Zoph
, 
Justin Gilmer
, 
Balaji Lakshminarayanan

","robustness
uncertainty","We obtain state-of-the-art on robustness to data shifts, and we maintain calibration under data shift even though even when accuracy drops"
AtomNAS: Fine-Grained End-to-End Neural Architecture Search,"

Jieru Mei
, 
Yingwei Li
, 
Xiaochen Lian
, 
Xiaojie Jin
, 
Linjie Yang
, 
Alan Yuille
, 
Jianchao Yang

","Neural Architecture Search
Image Classification",A new state-of-the-art on Imagenet for mobile setting
Residual Energy-Based Models for Text Generation,"

Yuntian Deng
, 
Anton Bakhtin
, 
Myle Ott
, 
Arthur Szlam
, Marc'Aurelio Ranzato
      ","energy-based models
text generation",We show that Energy-Based models when trained on the residual of an auto-regressive language model can be used effectively and efficiently to generate text. 
A closer look at the approximation capabilities of neural networks,"

Kai Fong Ernest Chong

","deep learning
approximation
universal approximation theorem",A quantitative refinement of the universal approximation theorem via an algebraic approach.
Deep Audio Priors Emerge From Harmonic Convolutional Networks,"

Zhoutong Zhang
, 
Yunyun Wang
, 
Chuang Gan
, 
Jiajun Wu
, 
Joshua B. Tenenbaum
, 
Antonio Torralba
, 
William T. Freeman

","Audio
Deep Prior",A new operation called Harmonic Convolution makes deep network model audio priors without training.
Expected Information Maximization: Using the I-Projection for Mixture Density Estimation,"

Philipp Becker
, 
Oleg Arenz
, 
Gerhard Neumann

","density estimation
information projection
mixture models
generative learning
multimodal modeling","A novel, non-adversarial, approach to learn latent variable models in general and mixture models in particular by computing the I-Projection solely based on samples."
A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms,"

Yoshua Bengio
, 
Tristan Deleu
, 
Nasim Rahaman
, 
Nan Rosemary Ke
, 
Sebastien Lachapelle
, 
Olexa Bilaniuk
, 
Anirudh Goyal
, 
Christopher Pal

","meta-learning
transfer learning
structure learning
modularity
causality",This paper proposes a meta-learning objective based on speed of adaptation to transfer distributions to discover a modular decomposition and causal variables.
On the interaction between supervision and self-play in emergent communication,"

Ryan Lowe*
, 
Abhinav Gupta*
, 
Jakob Foerster
, 
Douwe Kiela
, 
Joelle Pineau

","multi-agent communication
self-play
emergent languages",
Dynamic Model Pruning with Feedback,"

Tao Lin
, 
Sebastian U. Stich
, 
Luis Barba
, 
Daniil Dmitriev
, 
Martin Jaggi

","network pruning
dynamic reparameterization
model compression",
Latent Normalizing Flows for Many-to-Many Cross-Domain Mappings,"

Shweta Mahajan
, 
Iryna Gurevych
, 
Stefan Roth

",,
Transferring Optimality Across Data Distributions via Homotopy Methods,"

Matilde Gargiani
, 
Andrea Zanelli
, 
Quoc Tran Dinh
, 
Moritz Diehl
, 
Frank Hutter

","deep learning
numerical optimization
transfer learning","We propose a new homotopy-based method to transfer ""optimality knowledge"" across different data distributions in order to speed up training of deep models.  "
Regularizing activations in neural networks via distribution matching with the Wasserstein metric,"

Taejong Joo
, 
Donggu Kang
, 
Byunghoon Kim

","regularization
Wasserstein metric
deep learning",
Mutual Information Gradient Estimation for Representation Learning,"

Liangjian Wen
, 
Yiji Zhou
, 
Lirong He
, 
Mingyuan Zhou
, 
Zenglin Xu

","Mutual Information
Score Estimation
Representation Learning
Information Bottleneck",
Lite Transformer with Long-Short Range Attention,"

Zhanghao Wu*
, 
Zhijian Liu*
, 
Ji Lin
, 
Yujun Lin
, 
Song Han

","efficient model
transformer",
A Function Space View of Bounded Norm Infinite Width ReLU Nets: The Multivariate Case,"

Greg Ongie
, 
Rebecca Willett
, 
Daniel Soudry
, 
Nathan Srebro

","inductive bias
regularization
infinite-width networks
ReLU networks","We characterize the space of functions realizable as a ReLU network with an unbounded number of units (infinite width), but where the Euclidean norm of the weights is bounded."
Adversarial Lipschitz Regularization,"

Dávid Terjék

","generative adversarial networks
wasserstein generative adversarial networks
lipschitz regularization
adversarial training",alternative to gradient penalty
Compositional Language Continual Learning,"

Yuanpeng Li
, 
Liang Zhao
, 
Kenneth Church
, 
Mohamed Elhoseiny

","Compositionality
Continual Learning
Lifelong Learning
Sequence to Sequence Modeling",
End to End Trainable Active Contours via Differentiable Rendering,"

Shir Gur
, 
Tal Shaharabany
, 
Lior Wolf

",,
Provable Filter Pruning for Efficient Neural Networks,"

Lucas Liebenwein
, 
Cenk Baykal
, 
Harry Lang
, 
Dan Feldman
, 
Daniela Rus

","theory
compression
filter pruning
neural networks",A sampling-based filter pruning approach for convolutional neural networks exhibiting provable guarantees on the size and performance of the pruned network.
Effect of Activation Functions on the Training of Overparametrized Neural Nets,"

Abhishek Panigrahi
, 
Abhishek Shetty
, 
Navin Goyal

","activation functions
deep learning theory
neural networks",We provide theoretical results about the effect of activation function on the training of highly overparametrized 2-layer neural networks
Lipschitz constant estimation of Neural Networks via sparse polynomial optimization,"

Fabian Latorre
, 
Paul Rolland
, 
Volkan Cevher

","robust networks
Lipschitz constant
polynomial optimization",LP-based upper bounds on the Lipschitz constant of Neural Networks
State Alignment-based Imitation Learning,"

Fangchen Liu
, 
Zhan Ling
, 
Tongzhou Mu
, 
Hao Su

","Imitation learning
Reinforcement Learning",
